Pclass,Age,SibSp,Parch,Fare,AgeMissing,FareZero,Fare_log,Sex_code,FamilySize,IsAlone,HasSpouse,HasCabin,TicketGroupSize,FarePerPerson,Pclass_Age,Sex_Age,Pclass_Fare,FamilyID_Count,Title_SurvivalRate,Deck_SurvivalRate,TicketPrefix_SurvivalRate,Embarked_C,Embarked_Q,Embarked_S,FamilySize_bin_Alone,FamilySize_bin_Couple,FamilySize_bin_Nuclear,FamilySize_bin_Large,Sex_Pclass_female_P1,Sex_Pclass_female_P2,Sex_Pclass_female_P3,Sex_Pclass_male_P1,Sex_Pclass_male_P2,Sex_Pclass_male_P3,Title_freq,Deck_freq,TicketPrefix_freq,Survived
3,-0.5348911628688886,1,0,7.25,0,0,-1.0116487671220395,0,0.059159876663617626,0,1,0,-0.579161792940097,-0.4676468138000263,0.10799818139026762,-0.6334806006532496,-0.03332049559422607,0.23635327196772316,-0.823906631447829,-0.49518279818404376,-2.7014470984314283,False,False,True,False,True,False,False,False,False,False,False,False,True,0.5783040488922842,0.7754010695187166,0.029793735676088617,0
1,0.6683917564561223,1,0,71.2833,0,0,1.4175846318026861,1,0.059159876663617626,0,1,1,-0.579161792940097,0.424821654447338,-0.7853027805362878,1.8721719901081666,-1.1099562236570615,-0.5350414728060545,1.3919371151106663,1.4108821867777857,2.869412845086722,True,False,False,False,True,False,False,True,False,False,False,False,False,0.15126050420168066,0.0718105423987777,0.07028265851795264,1
3,-0.23407043303763592,0,0,7.925,0,0,-0.9236261542566082,1,-0.5609748304808925,1,0,0,-0.579161792940097,-0.3477837296402636,0.4908414507873628,1.0809132772361405,0.09058401307029297,-0.5350414728060545,1.2310056183677556,-0.5240426071493453,-0.15807675386751813,False,False,True,True,False,False,False,False,False,True,False,False,False,0.20168067226890757,0.7754010695187166,0.016042780748663103,1
1,0.4427762090826827,1,0,53.1,0,0,1.0932671816306103,1,0.059159876663617626,0,1,1,0.15592817502233383,0.17139067558661558,-0.8810135978855616,1.6743573118901602,-1.2621307350572721,0.23635327196772316,1.4798691205739265,1.4976006156905115,0.013699054968306718,False,False,True,False,True,False,False,True,False,False,False,False,False,0.15126050420168066,0.0718105423987777,0.7310924369747899,1
3,0.4427762090826827,0,0,8.05,0,0,-0.9080589153223161,0,-0.5609748304808925,1,0,0,-0.579161792940097,-0.34429933765887516,1.3522388069308269,-0.6334806006532496,0.1124971445785051,0.23635327196772316,-0.8115457830150492,-0.49518279818404376,-0.22615539912917082,False,False,True,True,False,False,False,False,False,False,False,False,True,0.5783040488922842,0.7754010695187166,0.7310924369747899,0
3,-0.3092756154954491,0,0,8.4583,1,0,-0.8586680321365787,0,-0.5609748304808925,1,0,0,-0.579161792940097,-0.3329179196908679,0.395130633438089,-0.6334806006532496,0.18202192820417762,-0.5350414728060545,-0.7921780808958166,-0.5434551896011697,-0.13088988876193702,False,True,False,True,False,False,False,False,False,False,False,False,True,0.5783040488922842,0.7754010695187166,0.7310924369747899,0
1,1.8716746757811333,0,0,51.8625,0,0,1.0673673752585313,0,-0.5609748304808925,1,0,1,-0.579161792940097,0.8769800518177767,-0.27484508800682755,-0.6334806006532496,-1.27428330463976,-0.5350414728060545,-0.8115457830150492,2.057671496415604,-0.22615539912917082,False,False,True,True,False,False,False,False,False,False,True,False,False,0.5783040488922842,0.03132161955691368,0.7310924369747899,0
3,-2.038994812025152,3,1,21.075,0,0,0.08996968743407245,0,1.9195639980971482,0,0,0,1.6261081109471953,-0.45120048364787285,-1.8062181655952083,-0.6334806006532496,1.5173661848411273,1.7791427615152784,0.6356196043250159,-0.5434551896011697,-0.13088988876193702,False,False,True,False,False,False,True,False,False,False,False,False,True,0.04660045836516425,0.7754010695187166,0.7310924369747899,0
3,-0.15886525057982273,0,2,11.1333,0,0,-0.5799023293462465,1,0.6792945838081278,0,1,0,0.8910181429847647,-0.4652467646032459,0.5865522681366366,1.1468515033088094,0.5744248155117903,1.007748016741501,1.3919371151106663,-0.5434551896011697,-0.13088988876193702,False,False,True,False,False,True,False,False,False,True,False,False,False,0.15126050420168066,0.7754010695187166,0.7310924369747899,1
2,-1.136532622531394,1,0,30.0708,0,0,0.4725603906221173,1,0.059159876663617626,0,1,0,0.15592817502233383,-0.1495803636845481,-1.1043388383672004,0.2896545643641143,0.2512711195591674,0.23635327196772316,1.4798691205739265,-0.5240426071493453,0.013699054968306718,True,False,False,False,True,False,False,False,True,False,False,False,False,0.15126050420168066,0.7754010695187166,0.7310924369747899,1
3,-1.8885844471095259,1,1,16.7,0,0,-0.15725512197559485,1,0.6792945838081278,0,0,1,0.15592817502233383,-0.4135225916891257,-1.6147965308966605,-0.3697276963625742,1.1693616489338066,0.23635327196772316,1.1577205466035014,0.27137475809099654,0.0798606787976611,False,False,True,False,False,True,False,False,False,True,False,False,False,0.20168067226890757,0.0038197097020626434,0.0030557677616501145,1
